CL,Descriptive_JobTitle,skills,primary skills,business_type,req_type,priority,Rec_Status,req_category,HSU,Assigned_HSU,rec_city,positions,Unresponded_Pos_Opcl,Unresponded_Pos_Hold,rejections,max submission,submissions,hits,hires,Sourced,Rec_location,Metro_Area,Total_starts,Total_hires,Total_perm_hires,Total_perm_starts,BD,CLis_missing,Descriptive_JobTitleis_missing,skillsis_missing,primary skillsis_missing,business_typeis_missing,req_typeis_missing,priorityis_missing,Rec_Statusis_missing,req_categoryis_missing,HSUis_missing,Assigned_HSUis_missing,rec_cityis_missing,Rec_locationis_missing,Metro_Areais_missing,Actual_billrate,predicted_billrate
4,706,3192,577,2,4,6,3,1,9,2,528,1,0,0,0,2,1,0,0,2,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,124.09,112.1453
2,790,7656,1976,2,4,4,2,1,14,2,102,1,0,0,0,2,4,0,0,4,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,102.0,77.54969999999999
4,4314,14591,351,2,1,2,1,1,12,1,102,1,0,0,0,2,7,5,0,7,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.79,77.92139999999999
3,5152,8606,81,2,7,2,3,1,14,2,356,1,0,0,1,2,3,1,1,10,9,89,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70.0,91.01189999999998
4,790,7442,385,2,7,2,3,1,14,1,479,1,0,0,1,2,2,2,1,3,50,154,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,74.37600000000002
2,4172,16355,1638,2,4,6,3,1,12,1,94,1,0,0,0,2,2,0,0,6,37,136,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,78.85,79.6022
4,1367,5165,385,2,4,4,3,1,12,1,102,1,0,0,0,2,3,0,0,3,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,84.99690000000002
4,2339,15708,457,2,7,2,4,1,3,2,102,1,0,0,0,2,3,0,0,3,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,92.39,91.46909999999998
4,3191,5815,577,2,4,6,5,1,9,1,350,1,0,0,0,2,1,0,0,1,28,104,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100.0,85.88640000000001
4,2155,4631,438,2,1,2,3,1,9,1,485,1,0,0,3,2,3,2,1,4,9,158,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,115.0,88.85099999999998
4,686,16131,1974,2,7,4,5,1,14,1,350,1,1,0,0,2,0,0,0,0,28,104,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57.0,57.842
2,1148,2557,79,2,4,4,3,1,4,1,257,1,0,0,0,2,4,0,0,3,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,110.0,81.64569999999999
4,7167,5952,1277,2,8,4,3,1,19,1,442,1,0,0,0,2,1,0,0,1,46,138,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,110.27380000000002
4,4484,9993,1277,2,7,2,3,1,12,1,233,1,0,0,1,2,2,0,0,2,53,195,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,88.51,83.6073
4,705,4555,577,2,4,6,4,1,9,2,484,1,0,0,0,2,6,1,0,0,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,112.0,94.20349999999996
4,6624,14825,708,2,1,4,3,1,14,2,313,1,0,0,4,2,6,2,0,6,36,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100.0,85.9258
4,114,45,1974,2,4,6,1,1,12,1,102,1,0,0,0,2,0,0,0,0,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80.5,78.1045
2,4961,4439,1441,2,1,4,5,1,18,2,192,3,0,0,14,6,31,21,9,43,47,30,9,9,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,114.0,97.0211
4,5099,16499,1087,3,1,2,3,1,18,1,102,1,0,0,1,2,2,1,1,2,37,30,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105.0,92.86050000000002
4,3462,14196,91,2,1,2,3,1,11,2,102,1,0,0,0,2,2,0,0,2,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,82.0,84.95620000000001
2,2894,12526,577,2,4,4,3,1,9,2,561,1,0,0,0,2,1,0,0,2,53,195,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90.0,105.747
4,5961,15708,577,2,4,6,3,1,9,2,102,1,0,0,0,2,1,0,0,2,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,99.74,91.44479999999994
4,2158,13700,580,2,4,6,3,1,9,1,72,3,0,0,0,2,4,0,0,5,36,177,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,84.05590000000001
2,5152,14509,81,2,1,2,3,1,14,1,445,1,0,0,1,2,4,1,0,5,53,195,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,91.0741
4,1647,6535,1416,2,4,6,1,1,4,2,23,1,0,0,0,2,0,0,0,0,27,5,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,101.22920000000003
2,6440,3676,1277,2,1,1,3,1,12,1,498,2,0,0,0,2,1,0,0,7,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,122.3,102.56202499999992
4,480,5093,577,2,4,1,3,1,9,2,109,1,0,0,1,2,1,1,1,2,17,173,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,98.84660000000004
4,688,10588,1416,2,1,2,3,1,14,2,597,1,0,0,0,2,1,0,0,1,37,199,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57.0,73.34389999999999
4,2331,8910,457,2,4,6,3,1,3,1,33,1,0,0,0,2,3,1,0,5,50,11,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.0,78.7087
2,5620,2723,385,2,1,2,3,1,4,1,420,1,1,0,0,2,0,0,0,1,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,130.0,100.0947
2,4103,12015,385,2,1,8,3,1,14,2,209,1,0,0,0,2,1,1,0,62,17,34,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,130.0,90.9482
4,21,156,385,2,7,2,3,1,12,1,373,1,0,0,0,2,1,0,0,2,36,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,101.67,86.55400000000003
4,4641,15816,1416,2,4,6,1,1,16,2,248,1,0,0,0,2,1,0,0,1,50,73,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,91.81,100.08790000000003
4,7294,7698,1416,2,1,2,4,1,11,2,257,3,0,0,0,2,2,2,0,2,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100.0,93.2797
2,2894,9211,577,2,4,4,1,1,9,2,102,1,0,0,0,2,3,0,0,4,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80.5,88.552
2,5195,10669,1416,2,4,4,1,1,8,1,194,1,0,0,0,2,2,0,0,2,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,119.05,105.08460000000002
4,2894,7888,577,2,4,4,1,1,9,2,528,2,0,0,0,4,1,0,0,1,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,128.7,106.99900000000004
4,2556,15936,1416,2,1,2,1,1,14,2,102,1,0,0,0,2,5,0,0,4,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,76.06,81.55020000000006
4,4236,1492,1416,2,4,4,3,1,16,1,357,1,0,0,0,2,2,1,0,4,45,112,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,84.96560000000001
4,280,16051,81,2,7,8,1,1,14,2,102,1,0,0,0,2,8,1,0,3,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105.0,105.013
3,3570,2857,1277,2,4,6,1,1,12,1,168,2,0,0,0,2,1,1,0,1,4,56,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,41.35,86.38850000000001
3,6450,3589,1416,2,4,4,1,1,17,1,33,1,0,0,0,2,1,0,0,2,50,11,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45.0,77.22256666666668
4,4022,8617,1291,2,1,2,1,1,14,2,102,1,0,0,0,2,3,0,0,7,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,99.5,85.29600000000003
2,790,12939,1976,2,1,2,1,1,14,1,109,1,0,0,0,2,11,4,0,15,17,173,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90.0,76.87019999999998
4,2894,13745,1638,2,1,2,1,1,9,2,240,1,0,0,0,2,8,2,0,8,17,171,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,91.75,92.26980000000002
